knowledge_base,user,question,answer
col_af096a78,pluginuser,leave policy,"Hello, this is Leto from Polus Solutions HR. How can I assist you today?

Polus Solutions has a comprehensive leave policy to support our employees' work-life balance. Here are the key highlights:

Casual Leave (CL):
- 12 days of paid leave per year for personal needs or unexpected circumstances
- Can be carried forward to the next year

Seniority Leave (SEL):
- 4 days of paid leave per year for employees with 3+ years of service
- Can be carried forward to the next year  

Sick Leave (SL):
- 6 days of paid sick leave per year to manage health-related absences

Maternity Leave:
- 6 months of paid leave for female employees for the first 2 children
- 12 weeks of paid leave for 3+ children
- 1 extra month of leave without pay for pregnancy-related sickness (with medical certificate)

Paternity Leave:
- 5 days of paid leave for male employees

Other leave types include:
- Special Day Leave, Wedlock Leave, Bereavement Leave, Work From Home, and more

The leave application process involves submitting requests through the Greythr portal. Employees should inform their managers and HR in advance for planned leaves.

Let me know if you have any other questions! This response is generated by an AI assistant and may contain inaccuracies. Please verify details with the HR department if needed.

Sources:
- Leave_Policy.pdf
- Probation_Confirmation_Policy.pdf
- Information_Security_Policy.pdf"
col_af096a78,pluginuser,leave policy,"Hello, this is Leto from the HR department at Polus Solutions. How can I assist you today?

Polus Solutions has a comprehensive leave policy to support our employees' work-life balance. Here are the key highlights:

Casual Leave (CL):
- 12 days of paid leave per year for personal needs or unexpected circumstances
- Can be carried forward to the next year

Seniority Leave (SEL):
- 4 days of paid leave per year for employees with over 3 years of service
- Can be carried forward to the next year

Special Day Leave (SDL):
- 1 day of paid leave to celebrate birthdays and anniversaries
- Cannot be carried forward

Sick Leave (SL):
- 6 days of paid sick leave per year
- Cannot be carried forward

Maternity Leave:
- Up to 26 weeks of paid leave for the first 2 children
- 12 weeks of paid leave for 3 or more children
- 1 extra month of leave without pay for pregnancy-related sickness (with a medical certificate)
- Adoption/surrogacy leave: 12 weeks of paid leave

Paternity Leave:
- 5 days of paid leave for male employees

Other leave types include Wedlock Leave, Bereavement Leave, Support Leave, and Work From Home options.

The leave application process involves submitting requests through the Greythr portal. Planned leaves should be informed and applied for 1-2 weeks in advance. For immediate leaves, employees must inform their manager and apply after returning to work.

Let me know if you have any other questions!

This response is generated by an AI assistant and may contain inaccuracies. Please verify details with the HR department if needed.

Sources:
- Leave_Policy.pdf
- Probation_Confirmation_Policy.pdf
- Information_Security_Policy.pdf"
col_af096a78,superadmin,Leave Policy,"Hello, this is Leto, the HR assistant at Polus Solutions. Let me provide you with an overview of the company's leave policy:

Leave Types and Eligibility:
- Casual Leave (CL): 12 days per year, eligible for all employees
- Seniority Leave (SEL): 4 days per year, eligible for employees with over 3 years of service
- Special Day Leave (SDL): 1 day per year, eligible for all employees
- Sick Leave (SL): 6 days per year, eligible for all employees
- Compensatory Off: Eligible for all employees, granted on demand
- Maternity Leave: 6 months, eligible for female employees
- Paternity Leave: 5 days, eligible for male employees
- Wedlock Leave: 10 days, eligible for all employees
- Bereavement Leave: 5 days, eligible for all employees
- Support Leave: 12 days per year, eligible for support team employees
- Carry Forward Leave: Unused leave can be carried forward up to 35 days
- Work From Home: 24 days per year, eligible for all employees

Leave Application Process:
- Employees apply for leave through the Greythr portal
- Planned leaves should be informed 1-2 weeks in advance
- For immediate leaves, inform the manager and apply after returning
- For certain leaves (maternity, paternity, wedlock, bereavement), inform the manager and HR via email

This response is generated by an AI assistant and may contain inaccuracies. Please verify details with the HR department if needed.

**Sources:**
- [Information_Security_Policy.pdf](546a6e38-4d0f-4afa-80e6-0c939e5e8c2b)
- [Leave_Policy.pdf](593fc0c5-4600-4981-a6d5-c20c307b5797)
- [Probation_Confirmation_Policy.pdf](fe281563-11d9-424f-9643-7694165ab7ac)"
col_7c0221bd,superadmin,Hello,Hello! I'm here to help with questions about your knowledge base documents. Let me know what you'd like to learn or explore.
col_af096a78,hr124,hello,Hello! I'm here to help with questions about your knowledge base documents. Let me know what you'd like to learn or explore.
col_af096a78,hr124,how are you,Hello! I'm here to help with questions about your knowledge base documents. Let me know what you'd like to learn or explore.
col_af096a78,hr124,hello guys,"Hello! How can I assist you today?

As the HR assistant at Polus Solutions, I'm here to help with any HR-related queries you may have. Some of the key areas I can provide information on include:

- Leave and attendance policies
- Onboarding and training processes
- Company policies and workplace conduct guidelines
- Employee benefits
- Work hours, holidays, and reporting procedures

Please let me know if you have any specific questions, and I'll do my best to provide the relevant information from our HR knowledge base. If there's anything I'm unable to assist with, I can direct you to the appropriate HR team member.

How else can I help you today?

Sources:
- HSE_Policy.pdf
- Information_Security_Policy.pdf
- Employee_Relation_Grievances.pdf
- PIP_Policy.pdf"
col_af096a78,hr124,Hi what is leave,"Hi there, I'd be happy to provide an overview of the leave policies at Polus Solutions. Here are the key details:

Leave Types and Eligibility:
- Casual Leave: 12 days per year for all employees
- Seniority Leave: 4 days per year for employees with over 3 years of service
- Special Day Leave: 1 day per year for all employees to celebrate birthdays/anniversaries
- Sick Leave: 6 days per year for all employees
- Maternity Leave: 6 months for female employees
- Paternity Leave: 5 days for male employees 
- Wedlock Leave: 10 days for all employees
- Bereavement Leave: 5 days for all employees

Leave Application Process:
- Employees apply for leave through the Greythr portal
- Planned leaves should be requested 1-2 weeks in advance
- For immediate leaves, employees inform their manager and apply after returning
- Certain long leaves require management approval

Key Policies:
- Unauthorized leaves result in loss of pay
- Manager approval is mandatory for all leave requests
- Leaves for employees under probation, notice period, or PIP are considered unpaid
- Employees can carry forward up to 35 days of unused casual/seniority leave

Let me know if you need any clarification or have additional questions!

Sources:
- Polus Solutions Leave Policy (PS POL4)
- Polus Solutions Employment Agreement"
col_af096a78,hr124,Leave policy,"Hi there, this is Leto from the HR team at Polus Solutions. Here are the key points regarding our leave policy:

Leave Entitlements:
- Casual Leave: 12 days per year
- Seniority Leave: 4 days per year for employees with over 3 years of service
- Special Day Leave: 1 day per year for birthdays/anniversaries
- Sick Leave: 6 days per year
- Compensatory Off: On-demand
- Maternity Leave: 6 months
- Paternity Leave: 5 days
- Wedlock Leave: 10 days
- Bereavement Leave: 5 days
- Support Leave: 12 days per year for support team (aligned with customer holidays)
- Work From Home: 24 days per year

Leave Application Process:
- Apply through the Greythr portal
- Planned leaves - 1-2 weeks advance notice
- Immediate leaves - inform manager, then apply after returning
- Certain long leaves require management approval

Key Policies:
- No leaves for employees on probation (except 1 day per month)
- Unauthorized leaves result in loss of pay
- Manager approval required for all leave requests
- Disciplinary action for policy violations

Sources:
- Leave Policy (PS POL4)
- Probation & Confirmation Policy (PS POL3)"
col_7c0221bd,superadmin,hi,Hello! I'm here to help with questions about your knowledge base documents. Let me know what you'd like to learn or explore.
col_7c0221bd,superadmin,what do you know about polus solstuons,"Unfortunately, I do not have any information about ""polus solstuons"" in my knowledge base. The term does not appear to be a common phrase, and I was unable to find any relevant information in the provided context documents. Without additional context or references, I do not have enough information to provide a substantive answer about this topic. 

Sources: None"
col_7c0221bd,superadmin,what all data do you ahve,"Unfortunately, I do not have access to any specific data files or knowledge base documents in this conversation. As an AI assistant, I do not have a pre-populated knowledge base that I can draw information from. Instead, I rely on the context and information provided to me during our conversation to formulate my responses.

Without any files or documents being shared with me, I do not have access to any data or information that I can reference. My knowledge comes from what is provided in the current conversation. If you are able to share some relevant files or documents, I would be happy to review them and provide more detailed information based on the contents.

Sources: None"
col_7c0221bd,superadmin,who is abhinand,"I'm afraid I don't have any information about ""who is abhinand"" in my knowledge base, as there are no context documents provided for me to reference. As an AI assistant, I only have access to the information that is explicitly given to me during our conversation. Without any files or background context about Abhinand, I do not have enough information to provide a substantive answer. 

If you are able to provide more context about who Abhinand is or share any relevant documents, I would be happy to review that information and try to answer your question. Otherwise, I do not have any data in my knowledge base about this person. Please let me know if you can offer any additional details that could help me respond more fully.

Sources: None"
col_af096a78,remya,leave policy,"I wasn't able to retrieve a confident answer, please refine your question.

**Sources:**
- [Information_Security_Policy.pdf](546a6e38-4d0f-4afa-80e6-0c939e5e8c2b)
- [Leave_Policy.pdf](593fc0c5-4600-4981-a6d5-c20c307b5797)
- [Probation_Confirmation_Policy.pdf](fe281563-11d9-424f-9643-7694165ab7ac)"
col_af096a78,remya,explin the leave policy,"Here is an overview of the key points in Polus Solutions' leave policy:

Leave Types and Eligibility:
- Casual Leave (CL): 12 days per year for all employees, can be carried forward
- Seniority Leave (SEL): 4 days per year for employees with over 3 years of service, can be carried forward 
- Special Day Leave (SDL): 1 day per year for all employees, not carried forward
- Sick Leave (SL): 6 days per year for all employees, not carried forward
- Compensatory Off: Granted for working extra hours or on holidays
- Maternity Leave: 26 weeks for female employees
- Paternity Leave: 5 days for male employees
- Wedlock Leave: 10 days for employees with 1+ years of service
- Bereavement Leave: 5 days for all employees

Other Policy Details:
- Employees under probation only get 1 leave per month
- Leaves during notice period or PIP are considered Leave Without Pay
- Unauthorized leaves result in loss of pay
- Manager approval is required for all leave requests
- Policy reviewed annually for compliance and updates

Sources:
- [Leave_Policy.pdf](593fc0c5-4600-4981-a6d5-c20c307b5797)
- [Probation_Confirmation_Policy.pdf](fe281563-11d9-424f-9643-7694165ab7ac)"
col_af096a78,remya,can you explain mre,"Unfortunately I do not have any additional details on Polus Solutions' leave policy beyond what was already provided. The information I shared earlier covers the key points of their leave types, eligibility, and other policy details.

If you have any specific questions or need more clarification on the leave policy, I would suggest contacting the HR team directly. They will be able to provide you with the most up-to-date and comprehensive information.

As an HR assistant, I can only share details that are explicitly stated in the provided knowledge base. I do not have the ability to extrapolate or make assumptions beyond what is documented. Please let me know if there are any other HR-related topics I can assist you with based on the information available.

Sources:
- [Leave_Policy.pdf](593fc0c5-4600-4981-a6d5-c20c307b5797)
- [Probation_Confirmation_Policy.pdf](fe281563-11d9-424f-9643-7694165ab7ac)"
col_7c0221bd,superadmin,Hi what can you tell me,"Based on the information provided in the context, I can share the following:

The context suggests that Polus Solutions is a company that provides software development and IT services. Some key points I can gather:

- Polus Solutions offers news and updates on their work, industry insights, and key announcements (Source 1).
- Polus Solutions is looking to hire a UI/UX designer with 3+ years of experience, proficiency in design tools, and knowledge of front-end technologies (Sources 2 and 3).
- Polus Solutions is also hiring for a Full Stack Software Engineer role, which involves designing and implementing user-facing applications and robust backends (Source 4).
- The company has a Knowledgebase (Source 5) and a Portfolio (Source 6) section on their website.
- Polus Solutions offers services to ""Build and Create stunning, speedy, and secure web applications"" (Source 7).
- Polus Solutions has provided comprehensive customer support solutions to AirBeamTV, including technical support and guidance through ticketing systems and messaging platforms (Source 8).

Sources:
- Source 1: News - Polus Solutions
- Source 2: UI/UX Lead - Polus Solutions
- Source 3: UI/UX Lead - Polus Solutions
- Source 4: Full Stack Software Engineer - Polus Solutions
- Source 5: Knowledgebase - Polus Solutions
- Source 6: Portfolio - Polus Solutions
- Source 7: Polus Solutions | Electronic research administration software
- Source 8: AirBeamTV - Polus Solutions"
col_7c0221bd,superadmin,what can you tell em about polus solutions,"Based on the provided context, here's what I can tell you about Polus Solutions:

Polus Solutions is a company that specializes in innovative research administration solutions. They offer expert software development services and tailored solutions across diverse domains to empower organizations.

Polus Solutions has achieved ISO 9001 and ISO 27001 certification, which marks a significant milestone in their commitment to quality, security, and excellence.

The company collaborates with Eduhint, a project where Polus resources contribute to the construction and improvement of their online learning portal. Polus provides development assistance for proof of concept (PoC) projects related to new product concepts.

Polus Solutions is also a Silver Sponsor of NCURA (National Council of University Research Administrators), highlighting their commitment to supporting and advancing the research community.

Additionally, Polus Solutions offers an exciting HR internship opportunity where interns can gain practical experience in recruitment, employee engagement, and learning & development.

Sources:
- Source 1: About Us - Polus Solutions
- Source 2, 3, 4: Setting New Standards with ISO Certification! - Polus Solutions
- Source 5: HR Intern - Polus Solutions
- Source 6, 7: Eduhint - Polus Solutions
- Source 8: An Year-long Collaboration With NCURA - Polus Solutions"
col_7c0221bd,superadmin,what do you know about polus solutions,"Based on the information provided in the context, here is what I know about Polus Solutions:

1. Polus Solutions is a company that specializes in innovative research administration solutions. They offer expert software development services and tailored solutions across diverse domains to empower organizations.

2. Polus Solutions is ISO 9001 and ISO 27001 certified, which demonstrates their commitment to quality, security, and excellence.

3. Polus Solutions offers internship opportunities in the HR team, where interns can gain practical experience in recruitment, employee engagement, and learning & development.

4. Polus Solutions collaborates closely with the Eduhint project team, contributing to the development and improvement of their online learning portal. They provide development assistance for proof of concept (PoC) projects related to new product concepts.

5. Polus Solutions is a Silver Sponsor of NCURA (National Council of University Research Administrators), which highlights their commitment to supporting and advancing the research community.

Sources:
- Source 1: About Us - Polus Solutions
- Source 5: HR Intern - Polus Solutions
- Source 6: Our Solution - Polus Solutions
- Source 7: An Year-long Collaboration With NCURA - Polus Solutions
- Source 8: An Year-long Collaboration With NCURA - Polus Solutions"
col_7c0221bd,superadmin,What do you know about polus solutioosn,"Based on the provided context, here's what I know about Polus Solutions:

Polus Solutions is a company that specializes in innovative research administration solutions. They offer expert software development services and tailored solutions across diverse domains to empower organizations. Some key points about Polus Solutions:

- Polus Solutions is expanding and inviting people to explore job opportunities with the company.
- The company offers an HR internship program where interns can gain practical experience in recruitment, employee engagement, and learning & development.
- Polus Solutions has achieved ISO 9001 and ISO 27001 certification, demonstrating their commitment to quality, security, and excellence.
- Polus Solutions is a Silver Sponsor of NCURA (National Council of University Research Administrators), highlighting their dedication to supporting and advancing the research community.

Sources:
- Polus Solutions | Electronic research administration software
- About us - Polus Solutions
- HR Intern - Polus Solutions
- News - Polus Solutions"
col_7c0221bd,superadmin,What do you know about polus solutioosn,"Based on the provided context, here is what I know about Polus Solutions:

Polus Solutions is a company that specializes in innovative research administration solutions. They offer expert software development services and tailored solutions across diverse domains to empower organizations. Some key points about Polus Solutions:

- Polus is expanding and inviting people to explore job opportunities and embark on rewarding careers with the company.
- Polus offers internships, specifically in the HR team, where interns can gain practical experience in recruitment, employee engagement, and learning & development.
- Polus has achieved ISO 9001 and ISO 27001 certification, marking a significant milestone in their commitment to quality, security, and excellence.
- Polus is a Silver Sponsor of NCURA (National Council of University Research Administrators), highlighting their commitment to supporting and advancing the research community.

Sources:
- Polus Solutions | Electronic research administration software
- About us - Polus Solutions
- HR Intern - Polus Solutions
- News - Polus Solutions"
col_af096a78,superadmin,Leave Policu,"Hi there, this is Leto from the HR team at Polus Solutions. Let me share some information on the leave policy:

Leave Types:
- Casual Leave (CL): All employees are eligible for 12 days of CL per year, which can be carried forward to the next year.
- Seniority Leave (SEL): Employees with 3+ years of service are eligible for 4 days of SEL per year.

Leave Eligibility:
- Employees under probation can avail only 1 leave per month.
- Employees serving notice periods cannot avail leave benefits. Taking leave during the notice period will be considered as Loss of Pay (LOP).

Leave Accrual:
- Up to 3 years of service: 19 days/year
- 3 years and above: 23 days/year

I hope this information is helpful! For any other HR-related queries, please feel free to reach out to the HR team directly.

Sources:
- Employee_Benefits_Policy.pdf"
col_af096a78,superadmin,I want to know more about the Leave Policy,"Got it, let me provide more details on the leave policy at Polus Solutions:

Leave Types and Eligibility:
- Casual Leave (CL): All employees get 12 days per year, can be carried forward
- Seniority Leave (SEL): Employees with 3+ years of service get 4 days per year, can be carried forward
- Special Day Leave (SDL): All employees get 1 day per year for birthdays/anniversaries, cannot be carried forward
- Sick Leave (SL): All employees get 6 days per year, cannot be carried forward
- Compensatory Off: All employees can avail this on demand, no carry forward
- Maternity Leave: Female employees get 6 months, on demand
- Paternity Leave: Male employees get 5 days, on demand 
- Wedlock Leave: All employees get 10 days, on demand
- Bereavement Leave: All employees get 5 days, on demand
- Support Leave: Support team employees get 12 days per year, can be carried forward
- Work From Home: All employees get 24 days per year

Leave Policies:
- Employees under probation can only take 1 leave per month
- Leaves during notice period or PIP are considered Loss of Pay (LOP)
- Unauthorized leaves result in loss of pay
- Manager approval is mandatory for all leave requests
- Maternity, Paternity, Wedlock, Bereavement leaves require email notification to manager and HR

Leave Application Process:
- Apply through Greythr portal, planned leaves 1-2 weeks in advance
- Immediate leaves - inform manager first, then apply after returning
- Long leaves require management approval

Let me know if you need any clarification or have additional questions!

Sources:
- Leave_Policy.pdf
- Probation_Confirmation_Policy.pdf"
col_7c0221bd,superadmin,what do you know about polus solutioons,"Based on the information provided in the context, here's what I know about Polus Solutions:

1. Polus Solutions is an electronic research administration software company that is expanding and inviting people to join their growing team.

2. Polus Solutions has achieved ISO 9001 and ISO 27001 certifications, which are significant milestones in their commitment to quality, security, and excellence.

3. Polus Solutions specializes in innovative research administration solutions, offering expert software development services and tailored solutions across diverse domains to empower organizations.

4. Polus Solutions has a hands-on HR internship program where interns can gain practical experience in recruitment, employee engagement, and learning & development.

5. Polus Solutions is a Silver Sponsor of NCURA (National Council of University Research Administrators), which highlights their commitment to supporting and advancing the research community.

**Sources:**
- [About us - Polus Solutions](https://www.polussolutions.com/about-us|web_crawl)
- [HR Intern - Polus Solutions](https://www.polussolutions.com/hr-intern|web_crawl)
- [News - Polus Solutions](https://www.polussolutions.com/news|web_crawl)
- [Polus Solutions | Electronic research administration software](https://www.polussolutions.com/|web_crawl)"
